image_name,is_cropped,total_area,roi_area,num_contours
image.3840_with_target,False,156,0,0
image.4059_with_target,False,1762,1670,2
image.4138_with_target,False,416,229,2
image.4139_with_target,False,344,235,3
image.4379_with_target,False,332,162,1
image.4619_with_target,False,343,213,3
image.4690_with_target,False,410,295,3
image.4715_with_target,False,1908,1823,2
image.4814_with_target,False,1675,1612,2
image.4841_with_target,False,333,215,5
image.4939_with_target,False,93,0,0
image.5010_with_target,False,456,340,8
image.5197_with_target,False,1625,1570,2
image.5199_with_target,False,122,58,7
image.5304_with_target,False,1911,1788,2
image.5320_with_target,False,1896,1724,10
image.5638_with_target,False,1723,1615,1
image.5947_with_target,False,1694,1588,1
image.6117_with_target,False,1785,1674,2
image.6253_with_target,False,1755,1673,1
image.6291_with_target,False,1824,1739,7
image.6301_with_target,False,1962,1804,9
image.6444_with_target,False,149,18,3
image.6561_with_target,False,1756,1662,1
image.6691_with_target,False,1723,1650,1
image.6756_with_target,False,292,175,2
image.7350_with_target,False,1759,1664,1
image.7513_with_target,False,411,236,1
image.7514_with_target,False,360,211,1
image.7584_with_target,False,1663,1579,1
image.7610_with_target,False,1716,1630,1
image.7634_with_target,False,1749,1657,1
image.7950_with_target,False,511,208,10
image.8009_with_target,False,1797,1698,1
image.8057_with_target,False,1843,1732,1
image.8406_with_target,False,1692,1571,1
image.9014_with_target,False,422,191,1
image.9106_with_target,False,195,137,1
image.9234_with_target,False,250,0,0
image.9428_with_target,False,263,185,2
image.9429_with_target,False,287,184,3
image.9460_with_target,False,161,10,2
image.9706_with_target,False,1731,1658,1
image.9724_with_target,False,1835,1695,1
image.9888_with_target,False,1895,1802,2
image_0096_with_target,False,777,502,12
image_0108_with_target,False,197,19,2
image_0156_with_target,False,218,125,1
image_0413_with_target,False,216,142,2
image_0461_with_target,False,2008,1777,11
image_0686_with_target,False,114,16,2
image_0714_with_target,False,507,390,4
image_0896_with_target,False,1959,1814,5
image_0946_with_target,False,206,117,11
image_1032_with_target,False,388,187,1
image_1033_with_target,False,392,182,2
image_1249_with_target,False,340,201,3
image_1303_with_target,False,1958,1817,5
image_1796_with_target,False,264,175,1
image_2070_with_target,False,205,64,10
image_2245_with_target,False,2084,1844,8
image_2309_with_target,False,488,316,12
image_2351_with_target,False,1977,1816,2
image_2367_with_target,False,463,376,6
image_2390_with_target,False,2042,1948,2
image_2473_with_target,False,1688,1612,2
image_2533_with_target,False,1837,1670,8
image_2547_with_target,False,368,237,2
image_2751_with_target,False,366,228,6
image_2854_with_target,False,136,29,3
image_3575_with_target,False,704,626,4
image_3662_with_target,False,411,307,3
image_3840_with_target,False,156,0,0
image_4059_with_target,False,1762,1670,2
image_4138_with_target,False,416,229,2
image_4139_with_target,False,344,235,3
image_4379_with_target,False,332,162,1
image_4619_with_target,False,343,213,3
image_4690_with_target,False,410,295,3
image_4715_with_target,False,1908,1823,2
image_4814_with_target,False,1675,1612,2
image_4841_with_target,False,333,215,5
image_4939_with_target,False,93,0,0
image_5010_with_target,False,456,340,8
image_5197_with_target,False,1625,1570,2
image_5199_with_target,False,122,58,7
image_5304_with_target,False,1911,1788,2
image_5320_with_target,False,1896,1724,10
image_5638_with_target,False,1723,1615,1
image_5947_with_target,False,1694,1588,1
image_6117_with_target,False,1785,1674,2
image_6253_with_target,False,1755,1673,1
image_6291_with_target,False,1824,1739,7
image_6301_with_target,False,1962,1804,9
image_6444_with_target,False,149,18,3
image_6561_with_target,False,1756,1662,1
image_6691_with_target,False,1723,1650,1
image_6756_with_target,False,292,175,2
image_7350_with_target,False,1759,1664,1
image_7513_with_target,False,411,236,1
image_7514_with_target,False,360,211,1
image_7584_with_target,False,1663,1579,1
image_7610_with_target,False,1716,1630,1
image_7634_with_target,False,1749,1657,1
image_7950_with_target,False,511,208,10
image_8009_with_target,False,1797,1698,1
image_8057_with_target,False,1843,1732,1
image_8406_with_target,False,1692,1571,1
image_9014_with_target,False,422,191,1
image_9106_with_target,False,195,137,1
image_9234_with_target,False,250,0,0
image_9428_with_target,False,263,185,2
image_9429_with_target,False,287,184,3
image_9460_with_target,False,161,10,2
image_9706_with_target,False,1731,1658,1
image_9724_with_target,False,1835,1695,1
image_9888_with_target,False,1895,1802,2
image.0096_with_target,False,777,502,12
image.0108_with_target,False,197,19,2
image.0156_with_target,False,218,125,1
image.0413_with_target,False,216,142,2
image.0461_with_target,False,2008,1777,11
image.0686_with_target,False,114,16,2
image.0714_with_target,False,507,390,4
image.0896_with_target,False,1959,1814,5
image.0946_with_target,False,206,117,11
image.1032_with_target,False,388,187,1
image.1033_with_target,False,392,182,2
image.1249_with_target,False,340,201,3
image.1303_with_target,False,1958,1817,5
image.1796_with_target,False,264,175,1
image.2070_with_target,False,205,64,10
image.2245_with_target,False,2084,1844,8
image.2309_with_target,False,488,316,12
image.2351_with_target,False,1977,1816,2
image.2367_with_target,False,463,376,6
image.2390_with_target,False,2042,1948,2
image.2473_with_target,False,1688,1612,2
image.2533_with_target,False,1837,1670,8
image.2547_with_target,False,368,237,2
image.2751_with_target,False,366,228,6
image.2854_with_target,False,136,29,3
image.3575_with_target,False,704,626,4
image.3662_with_target,False,411,307,3
image.3840_with_target,False,156,0,0
image.4059_with_target,False,1762,1670,2
image.4138_with_target,False,416,229,2
image.4139_with_target,False,344,235,3
image.4379_with_target,False,332,162,1
image.4619_with_target,False,343,213,3
image.4690_with_target,False,410,295,3
image.4715_with_target,False,1908,1823,2
image.4814_with_target,False,1675,1612,2
image.4841_with_target,False,333,215,5
image.4939_with_target,False,93,0,0
image.5010_with_target,False,456,340,8
image.5197_with_target,False,1625,1570,2
image.5199_with_target,False,122,58,7
image.5304_with_target,False,1911,1788,2
image.5320_with_target,False,1896,1724,10
image.5638_with_target,False,1723,1615,1
image.5947_with_target,False,1694,1588,1
image.6117_with_target,False,1785,1674,2
image.6253_with_target,False,1755,1673,1
image.6291_with_target,False,1824,1739,7
image.6301_with_target,False,1962,1804,9
image.6444_with_target,False,149,18,3
image.6561_with_target,False,1756,1662,1
image.6691_with_target,False,1723,1650,1
image.6756_with_target,False,292,175,2
image.7350_with_target,False,1759,1664,1
image.7513_with_target,False,411,236,1
image.7514_with_target,False,360,211,1
image.7584_with_target,False,1663,1579,1
image.7610_with_target,False,1716,1630,1
image.7634_with_target,False,1749,1657,1
image.7950_with_target,False,511,208,10
image.8009_with_target,False,1797,1698,1
image.8057_with_target,False,1843,1732,1
image.8406_with_target,False,1692,1571,1
image.9014_with_target,False,422,191,1
image.9106_with_target,False,195,137,1
image.9234_with_target,False,250,0,0
image.9428_with_target,False,263,185,2
image.9429_with_target,False,287,184,3
image.9460_with_target,False,161,10,2
image.9706_with_target,False,1731,1658,1
image.9724_with_target,False,1835,1695,1
image.9888_with_target,False,1895,1802,2
image.0096_with_target,True,4920,4920,2
image.0108_with_target,True,4780,4780,7
image.0156_with_target,True,4762,4762,2
image.0413_with_target,True,4779,4779,3
image.0461_with_target,True,6253,6253,1
image.0686_with_target,True,4661,4661,2
image.0714_with_target,True,4883,4883,2
