image_name,is_cropped,total_area,roi_area,processing_time
image.8670_with_target,True,5,5,-1740975896334.0793
image.8865_with_target,True,5,5,-1740975896334.2524
image.1268_with_target,True,252,252,-1740975896334.0713
image.6899_with_target,True,44,44,-1740975896334.2673
image.9964_with_target,True,265,265,-1740975896334.2676
image.9013_with_target,True,1444,1444,-1740975896334.2961
image.2836_with_target,True,5,5,-1740975896334.3613
image.7879_with_target,True,510,510,-1740975896334.3906
image.5827_with_target,True,5,5,-1740975896334.168
image.7672_with_target,True,1236,1236,-1740975896334.2686
image.8786_with_target,True,10,10,-1740975896334.1094
image.8366_with_target,True,1452,1452,-1740975896334.335
image.6531_with_target,True,5,5,-1740975896334.1338
image.1609_with_target,True,5,5,-1740975896334.1384
image.4978_with_target,True,243,243,-1740975896334.2964
image.1517_with_target,True,1350,1350,-1740975896334.2744
image.9565_with_target,True,5,5,-1740975896334.2197
image.8484_with_target,True,194,194,-1740975896334.2468
image.5396_with_target,True,1441,1441,-1740975896334.0674
image.1126_with_target,True,5,5,-1740975896334.3032
image.0721_with_target,True,83,83,-1740975896334.2742
image.4025_with_target,True,65,65,-1740975896334.2769
image.9812_with_target,True,5,5,-1740975896334.3162
image.6887_with_target,True,435,435,-1740975896334.1748
image.4510_with_target,True,1405,1405,-1740975896334.3618
image.9156_with_target,True,5,5,-1740975896334.4082
image.3069_with_target,True,144,144,-1740975896334.1946
image.1025_with_target,True,119,119,-1740975896333.8193
image.3141_with_target,True,1377,1377,-1740975896334.0676
image.9757_with_target,True,5,5,-1740975896334.2527
image.5887_with_target,True,250,250,-1740975896334.258
image.1796_with_target,True,98,98,-1740975896334.3474
image.6682_with_target,True,109,109,-1740975896334.2717
image.4224_with_target,True,1313,1313,-1740975896334.0164
image.5255_with_target,True,390,390,-1740975896334.337
image.5967_with_target,True,59,59,-1740975896334.2437
image.0288_with_target,True,199,199,-1740975896334.2634
image.8032_with_target,True,5,5,-1740975896334.3447
image.8425_with_target,True,5,5,-1740975896334.074
image.7074_with_target,True,110,110,-1740975896334.4001
image.4817_with_target,True,133,133,-1740975896334.3486
image.8491_with_target,True,49,49,-1740975896334.3552
image.8134_with_target,True,1285,1285,-1740975896334.3552
image.5256_with_target,True,1408,1408,-1740975896334.2175
image.3444_with_target,True,5,5,-1740975896334.329
image.8196_with_target,True,5,5,-1740975896334.212
image.9962_with_target,True,1335,1335,-1740975896334.3005
image.7581_with_target,True,101,101,-1740975896333.9805
image.1601_with_target,True,35,35,-1740975896334.221
image.1537_with_target,True,1365,1365,-1740975896334.3381
image.3865_with_target,True,5,5,-1740975896334.2024
image.7106_with_target,True,1421,1421,-1740975896334.273
image.5623_with_target,True,1354,1354,-1740975896334.1301
image.2695_with_target,True,61,61,-1740975896334.1829
image.0236_with_target,True,1356,1356,-1740975896333.8088
image.5919_with_target,True,1368,1368,-1740975896333.9294
image.7738_with_target,True,155,155,-1740975896334.3696
image.5266_with_target,True,148,148,-1740975896334.2202
image.6999_with_target,True,5,5,-1740975896334.2798
image.4676_with_target,True,1343,1343,-1740975896334.3647
image.4292_with_target,True,1384,1384,-1740975896333.532
image.9061_with_target,True,25,25,-1740975896333.231
image.5403_with_target,True,1380,1380,-1740975896334.1316
image.1098_with_target,True,321,321,-1740975896333.908
image.5284_with_target,True,443,443,-1740975896334.2856
image.0366_with_target,True,5,5,-1740975896333.8794
image.9614_with_target,True,5,5,-1740975896334.2349
image.3090_with_target,True,1384,1384,-1740975896334.1152
image.3349_with_target,True,393,393,-1740975896334.2102
image.4009_with_target,True,249,249,-1740975896334.334
image.8781_with_target,True,5,5,-1740975896334.1104
image.3278_with_target,True,5,5,-1740975896334.3135
image.0427_with_target,True,1314,1314,-1740975896334.3135
image.2819_with_target,True,416,416,-1740975896334.0251
image.8957_with_target,True,5,5,-1740975896333.9692
image.1096_with_target,True,5,5,-1740975896333.978
image.5525_with_target,True,1508,1508,-1740975896333.6375
image.2206_with_target,True,489,489,-1740975896334.0352
image.5035_with_target,True,301,301,-1740975896334.3396
image.1024_with_target,True,5,5,-1740975896334.115
image.6347_with_target,True,44,44,-1740975896334.3672
image.0023_with_target,True,5,5,-1740975896334.3318
image.3993_with_target,True,1607,1607,-1740975896334.0881
image.9700_with_target,True,1506,1506,-1740975896334.3193
image.8060_with_target,True,5,5,-1740975896333.1138
image.3350_with_target,True,1372,1372,-1740975896334.201
image.9142_with_target,True,426,426,-1740975896334.2542
image.0780_with_target,True,279,279,-1740975896332.7974
image.1610_with_target,True,1370,1370,-1740975896334.3333
image.2055_with_target,True,422,422,-1740975896334.1592
image.3102_with_target,True,178,178,-1740975896334.4258
image.5060_with_target,True,299,299,-1740975896334.343
image.4425_with_target,True,5,5,-1740975896334.2705
image.5981_with_target,True,242,242,-1740975896334.2522
image.3825_with_target,True,1397,1397,-1740975896333.6868
image.6051_with_target,True,25,25,-1740975896334.3118
image.6565_with_target,True,128,128,-1740975896334.2104
image.8614_with_target,True,1378,1378,-1740975896334.2031
image.7728_with_target,True,96,96,-1740975896334.38
image.3264_with_target,True,13,13,-1740975896334.3752
image.8255_with_target,True,5,5,-1740975896334.4333
image.3354_with_target,True,5,5,-1740975896334.4353
image.4408_with_target,True,500,500,-1740975896334.3848
image.5958_with_target,True,194,194,-1740975896334.2761
image.5755_with_target,True,5,5,-1740975896334.3733
image.9096_with_target,True,161,161,-1740975896334.3447
image.5068_with_target,True,1369,1369,-1740975896334.354
image.7158_with_target,True,5,5,-1740975896334.3499
image.4247_with_target,True,611,611,-1740975896334.2063
image.9169_with_target,True,146,146,-1740975896334.3752
image.4312_with_target,True,5,5,-1740975896334.3257
image.8572_with_target,True,1421,1421,-1740975896334.4104
image.8876_with_target,True,1223,1223,-1740975896334.351
image.8599_with_target,True,643,643,-1740975896334.382
image.4280_with_target,True,20,20,-1740975896334.3914
image.9972_with_target,True,51,51,-1740975896334.373
image.4259_with_target,True,549,549,-1740975896334.3862
image.1278_with_target,True,1395,1395,-1740975896334.421
image.4929_with_target,True,537,537,-1740975896334.4524
image.9258_with_target,True,18,18,-1740975896334.457
image.7180_with_target,True,270,270,-1740975896334.4219
image.4896_with_target,True,1376,1376,-1740975896334.298
image.3030_with_target,True,1420,1420,-1740975896334.2908
image.5152_with_target,True,1392,1392,-1740975896334.3125
image.2782_with_target,True,5,5,-1740975896334.3875
image.4505_with_target,True,1438,1438,-1740975896334.0588
image.7026_with_target,True,5,5,-1740975896334.293
image.2966_with_target,True,5,5,-1740975896334.3362
image.0796_with_target,True,83,83,-1740975896334.2788
image.6757_with_target,True,5,5,-1740975896334.367
image.8383_with_target,True,5,5,-1740975896334.3796
image.3799_with_target,True,24,24,-1740975896334.118
image.7248_with_target,True,29,29,-1740975896334.3503
image.6937_with_target,True,307,307,-1740975896334.0718
image.2607_with_target,True,576,576,-1740975896334.3696
image.6131_with_target,True,1431,1431,-1740975896334.3057
image.8006_with_target,True,5,5,-1740975896334.3745
image.5538_with_target,True,5,5,-1740975896334.4026
image.1066_with_target,True,5,5,-1740975896334.3474
image.0615_with_target,True,83,83,-1740975896334.371
image.3832_with_target,True,5,5,-1740975896334.3562
image.9170_with_target,True,144,144,-1740975896334.3604
image.8894_with_target,True,106,106,-1740975896334.3643
image.7223_with_target,True,5,5,-1740975896334.2705
image.7737_with_target,True,1488,1488,-1740975896334.3564
image.8672_with_target,True,1428,1428,-1740975896333.9424
image.1925_with_target,True,144,144,-1740975896334.3994
image.0858_with_target,True,468,468,-1740975896334.3252
image.8902_with_target,True,563,563,-1740975896334.3516
image.0711_with_target,True,100,100,-1740975896333.9602
image.4412_with_target,True,5,5,-1740975896333.9697
image.3279_with_target,True,61,61,-1740975896333.6006
image.9027_with_target,True,8,8,-1740975896334.3286
image.3543_with_target,True,13,13,-1740975896334.3462
image.1045_with_target,True,97,97,-1740975896334.4102
image.7703_with_target,True,475,475,-1740975896334.331
image.0873_with_target,True,1428,1428,-1740975896334.1755
image.7848_with_target,True,1389,1389,-1740975896334.2988
image.5777_with_target,True,180,180,-1740975896334.1824
image.7489_with_target,True,451,451,-1740975896334.1453
image.0394_with_target,True,30,30,-1740975896334.1582
image.0404_with_target,True,5,5,-1740975896334.2395
image.8435_with_target,True,431,431,-1740975896334.3657
image.6237_with_target,True,278,278,-1740975896333.319
image.9755_with_target,True,54,54,-1740975896334.3176
image.3913_with_target,True,5,5,-1740975896334.326
image.5957_with_target,True,429,429,-1740975896334.3147
image.2886_with_target,True,1390,1390,-1740975896334.3765
image.1891_with_target,True,394,394,-1740975896334.352
image.3750_with_target,True,1427,1427,-1740975896333.7883
image.9776_with_target,True,675,675,-1740975896334.329
image.5724_with_target,True,5,5,-1740975896334.2207
image.2579_with_target,True,5,5,-1740975896334.3735
image.4013_with_target,True,407,407,-1740975896334.264
image.2444_with_target,True,1286,1286,-1740975896334.3577
image.5759_with_target,False,23723,23723,-1740975896332.338
image.4238_with_target,False,23543,23543,-1740975896329.6829
image.0536_with_target,False,23812,23812,-1740975896332.68
image.4387_with_target,False,23536,23536,-1740975896332.679
image.4671_with_target,False,23678,23678,-1740975896332.7197
image.8740_with_target,False,23843,23843,-1740975896332.811
image.1716_with_target,False,21230,21091,-1740975896332.6355
image.3212_with_target,False,33151,33151,-1740975896332.8618
image.2633_with_target,False,26016,26016,-1740975896332.561
image.5874_with_target,False,23009,23009,-1740975896332.6711
image.6613_with_target,False,22871,22871,-1740975896332.7273
image.6899_with_target,False,22952,22952,-1740975896332.7773
image.5308_with_target,False,24020,24020,-1740975896331.9302
image.3598_with_target,False,23738,23738,-1740975896332.7915
image.0844_with_target,False,22921,22921,-1740975896332.744
image.4862_with_target,False,22806,22806,-1740975896330.1946
image.5697_with_target,False,23696,23696,-1740975896332.7048
image.4182_with_target,False,23671,23671,-1740975896332.5354
image.1617_with_target,False,23816,23816,-1740975896332.8813
image.9670_with_target,False,22882,22882,-1740975896332.6863
image.0719_with_target,False,23805,23805,-1740975896332.4658
image.3649_with_target,False,20948,20948,-1740975896333.6401
image.5485_with_target,False,23120,23120,-1740975896333.3313
image.9126_with_target,False,21381,21381,-1740975896333.5586
image.2223_with_target,False,23908,23908,-1740975896333.6006
image.5213_with_target,False,20779,20779,-1740975896333.086
image.1158_with_target,False,22834,22834,-1740975896333.4368
image.5804_with_target,False,22808,22808,-1740975896333.003
image.0263_with_target,False,23838,23838,-1740975896333.6675
image.2789_with_target,False,22924,22924,-1740975896333.5781
image.9098_with_target,False,21507,21507,-1740975896332.2402
image.3444_with_target,False,23978,23978,-1740975896333.6912
image.0825_with_target,False,23631,23631,-1740975896328.394
image.9554_with_target,False,23629,23629,-1740975896332.9783
image.9495_with_target,False,21193,21193,-1740975896332.5542
image.8362_with_target,False,22815,22815,-1740975896333.6309
image.0840_with_target,False,25900,25900,-1740975896332.2266
image.3035_with_target,False,23666,23666,-1740975896333.638
image.5214_with_target,False,20740,20740,-1740975896332.4062
image.4001_with_target,False,23630,23630,-1740975896333.1575
image.4550_with_target,False,33584,33584,-1740975896333.1865
image.6587_with_target,False,23411,23411,-1740975896333.4229
image.5044_with_target,False,23945,23945,-1740975896333.6057
image.5855_with_target,False,22808,22803,-1740975896333.6128
image.8400_with_target,False,23852,23852,-1740975896333.6748
image.0901_with_target,False,23755,23755,-1740975896333.4292
image.2346_with_target,False,23561,23561,-1740975896331.9854
image.6006_with_target,False,22986,22986,-1740975896332.9495
image.1936_with_target,False,23797,23797,-1740975896332.7598
image.3215_with_target,False,21272,21272,-1740975896333.674
image.8059_with_target,False,23697,23697,-1740975896332.7769
image.4553_with_target,False,23747,23747,-1740975896333.6775
image.0127_with_target,False,21194,21194,-1740975896332.8704
image.1603_with_target,False,23713,23713,-1740975896333.7158
image.3102_with_target,False,22837,22837,-1740975896333.5413
image.2322_with_target,False,23762,23762,-1740975896333.293
image.1720_with_target,False,20922,20922,-1740975896333.4185
image.5539_with_target,False,21399,21399,-1740975896333.7454
image.9074_with_target,False,21254,21254,-1740975896333.344
image.1825_with_target,False,22993,22993,-1740975896333.707
image.2577_with_target,False,23922,23922,-1740975896333.6306
image.3341_with_target,False,23681,23681,-1740975896333.5234
image.2609_with_target,False,20860,20860,-1740975896333.518
image.3192_with_target,False,22916,22916,-1740975896333.7
image.1909_with_target,False,22720,22720,-1740975896333.523
image.5203_with_target,False,23720,23720,-1740975896332.7021
image.7075_with_target,False,23536,23536,-1740975896333.6785
image.1928_with_target,False,45968,45968,-1740975896333.0457
image.6965_with_target,False,22783,22783,-1740975896333.5002
image.3410_with_target,False,22846,22846,-1740975896333.6282
image.1244_with_target,False,21331,21331,-1740975896333.7263
image.4845_with_target,False,23719,23719,-1740975896333.7302
image.3679_with_target,False,21078,21078,-1740975896332.8982
image.0226_with_target,False,20734,20699,-1740975896333.5085
image.0499_with_target,False,23027,23027,-1740975896333.6436
image.3690_with_target,False,23781,23781,-1740975896333.4946
image.6590_with_target,False,22831,22831,-1740975896333.121
image.3237_with_target,False,23795,23795,-1740975896333.578
image.1737_with_target,False,23658,23658,-1740975896333.5972
image.3936_with_target,False,23763,23763,-1740975896333.5789
image.1449_with_target,False,23778,23778,-1740975896333.4326
image.0069_with_target,False,20714,20714,-1740975896333.689
image.5578_with_target,False,20978,20978,-1740975896333.3713
image.4992_with_target,False,22812,22812,-1740975896333.7087
image.2904_with_target,False,20968,20968,-1740975896333.623
image.6796_with_target,False,22904,22904,-1740975896333.4387
image.2492_with_target,False,21451,21451,-1740975896333.58
